date,open,high,low,close,volume,amount
2010-01-04,3592.468000,3597.748000,3535.229000,3535.229000000,66101080.00,93419838921.000
2010-01-05,3545.186000,3577.526000,3497.661000,3564.038000000,85809641.00,128302442618.000
2010-01-06,3558.700000,3588.832000,3541.173000,3541.727000000,78473125.00,121045989916.000
2010-01-07,3543.160000,3558.556000,3452.769000,3471.456000000,80350037.00,120436166283.000
2010-01-08,3456.908000,3482.083000,3426.698000,3480.130000000,60790253.00,90190959969.000
2010-01-11,3593.106000,3594.528000,3465.317000,3482.052000000,89980172.00,134114001104.000
2010-01-12,3477.842000,3535.407000,3437.661000,3534.916000000,93743278.00,134071416354.000
2010-01-13,3448.291000,3490.112000,3415.693000,3421.144000000,112457901.00,159860384574.000
2010-01-14,3433.472000,3470.323000,3411.812000,3469.051000000,83353252.00,118107870086.000
2010-01-15,3472.524000,3500.072000,3448.661000,3482.738000000,72543102.00,104035175785.000
2010-01-18,3471.777000,3501.260000,3458.042000,3500.684000000,82854307.00,117884258544.000
2010-01-19,3506.806000,3528.390000,3497.094000,3507.482000000,74883232.00,108023525533.000
2010-01-20,3512.246000,3515.449000,3387.818000,3394.434000000,92495146.00,128416164613.000
2010-01-21,3397.043000,3425.180000,3364.723000,3408.574000000,70595068.00,100076607006.000
2010-01-22,3364.452000,3390.796000,3293.194000,3366.197000000,88933404.00,119197815814.000
2010-01-25,3340.013000,3372.426000,3326.266000,3328.014000000,56849171.00,76626626843.000
2010-01-26,3328.113000,3341.198000,3222.140000,3242.797000000,61752231.00,81586059213.000
2010-01-27,3243.038000,3255.116000,3183.365000,3198.566000000,52691394.00,70540273182.000
2010-01-28,3195.289000,3220.306000,3168.463000,3206.570000000,46990716.00,64082115658.000
2010-01-29,3190.315000,3249.455000,3176.916000,3204.155000000,50262613.00,68018118702.000
2010-02-01,3198.230000,3198.311000,3116.439000,3152.707000000,57001380.00,75982150475.000
2010-02-02,3170.778000,3211.941000,3143.085000,3146.189000000,50130033.00,68318412373.000
2010-02-03,3160.712000,3231.102000,3094.568000,3230.715000000,64798894.00,87536249983.000
2010-02-04,3206.431000,3242.519000,3190.437000,3218.802000000,58972726.00,75466552963.000
2010-02-05,3147.721000,3177.420000,3129.921000,3153.087000000,59105845.00,73693132366.000
2010-02-08,3152.253000,3172.306000,3133.808000,3150.988000000,37355951.00,47902429250.000
2010-02-09,3147.761000,3178.947000,3144.478000,3169.190000000,35953158.00,45222660374.000
2010-02-10,3195.142000,3214.456000,3182.834000,3214.130000000,34219894.00,48152144637.000
2010-02-11,3216.688000,3238.349000,3207.165000,3220.398000000,35791052.00,46999712971.000
2010-02-12,3232.879000,3253.196000,3228.738000,3251.278000000,34058238.00,46703220577.000
2010-02-22,3248.947000,3261.949000,3232.784000,3233.345000000,38283772.00,49981333658.000
2010-02-23,3225.393000,3225.393000,3152.934000,3198.634000000,42742898.00,62386076936.000
2010-02-24,3177.082000,3244.816000,3165.133000,3244.483000000,49989437.00,64414097361.000
2010-02-25,3252.153000,3294.144000,3249.329000,3292.128000000,67586617.00,89485801632.000
2010-02-26,3286.095000,3301.149000,3273.693000,3281.666000000,52107288.00,70171666128.000
2010-03-01,3290.007000,3330.378000,3287.556000,3324.423000000,60504520.00,81205689009.000
2010-03-02,3327.103000,3339.894000,3299.685000,3311.236000000,57034374.00,76233992315.000
2010-03-03,3313.023000,3335.654000,3293.916000,3335.081000000,60622732.00,78442132954.000
2010-03-04,3338.674000,3345.909000,3244.978000,3250.573000000,69346810.00,89462913752.000
